AAP_Share_D         : 55254206302462116
SHGHADIR_Share_D    : 21607242972640064
SHGOL_Share_D       : 44153164692325703
SHILEN_Share_D      : deleted
SHILOON_Share_D     : deleted
SHIRAN_Share_D      : 35796086458096255
SHIRAZ_Share_D      : 38568786927478796
SHJAM_Share_D       : 49244604018250364
SHKABIR_Share_D     : 56574323121551263
SHKAF_Share_D       : 58602432837130018
SHKARBON_Share_D    : 27308217070238237
SHKHARK_Share_D     : 70934270174405743
SHKOLOR_Share_D     : 62177651435283872
SHLEAB_Share_D      : 39116664428676213
SHLORD_Share_D      : 56429431740318486
SHMAVAD_Share_D     : 28251956446987982
SHMELI_Share_D      : deleted
SHNAFT_Share_D      : 14073782708315535
SHOYANDE_Share_D    : 3493306453706327
SHPAKSA_Share_D     : 11622051128546106
SHPARS_Share_D      : 61102694810476197
SHPAS_Share_D       : 35178706978554988
SHPETRO_Share_D     : 71957984642204570
SHPOLI_Share_D      : 28845264556937486
SHRANGI_Share_D     : 40025799067544201
SHRANOL_Share_D     : 44013656953678055
SHRAZ_Share_D       : 33683240001985963
SHSAM_Share_D       : 59800986739603675
SHSEPEHR_Share_D    : deleted
SHSFAHA_Share_D     : 18346219759153870#
SHSINA_Share_D      : 30974710508383145
SHSPA_Share_D       : 49188729526980541
SHTOOKA_Share_D     : 38555056423456635
SHTOOLI_Share_D     : 66210395067138534
SHVASH_Share_D      : deleted
SHZANG_Share_D      : 65490886290565185
SIDKO_Share_D       : 37281199178613855
SIMORGH_Share_D     : 28450080638096732
SYSTEM_Share_D      : 47749661205825616
TABA_Share_D        : 51459202425114449
TABAROK_Share_D     : 53204330224889981
TAKNAR_Share_D      : 52455922800537930
TALISE_Share_D      : 41781090739318251
TAPIKO_Share_D      : 22560050433388046
TAPKISH_Share_D     : 50002340308486819
TASICO_Share_D      : 23293437377896568
TAT_Share_D         : deleted
TEATMOS_Share_D     : deleted
TECNO_Share_D       : 3654864906585643
TECOMBA_Share_D     : 30719054967088301
TECOMIZ_Share_D     : deleted
TECSHA_Share_D      : 62258804563636993
TEDIESEL_Share_D    : deleted
TEFIROO_Share_D     : 45062188442385800
TEJARAT_Share_D     : not found
TEKALA_Share_D      : 67612261115225625#
TELIFT_Share_D      : deleted
TEMAVAND_Share_D    : 50374488794681480
TEMELLAT_Share_D    : 11129387075131725
TEMOHAREKE_Share_D  : 15826229869421585
TENOVIN_Share_D     : 25357135030606405
TEPCO_Share_D       : 54509759694064219
TEPUMPES_Share_D    : deleted
TEPUMPI_Share_D     : 43062880954780884
TERAK_Share_D       : bankrupted
TESHTAD_Share_D     : 66127247173352975
TIPIKO_Share_D      : 29758477602878557
TIRA_Share_D        : 19298748452450329
TOLIDDARU_Share_D   : deleted
TOREYL_Share_D      : 37389789764168256
TOSEEH_Share_D      : 7769065543658313
TOSEGARDESH_Share_D : deleted
TPOULA_Share_D      : 22308305646551497
VAAFARI_Share_D     : 19839750988634567
VAANSAR_Share_D     : 49776615757150035
VAARAS_Share_D      : 53686258677793038
VAARIYAN_Share_D    : 24212636157410845
VAATI_Share_D       : 33541897671561960
VAATOS_Share_D      : 17269972595370241
VAAYANDEH_Share_D   : 46830341954511303
VABAHMAN_Share_D    : 18063426072758458
VABANK_Share_D      : 48010225447410247
VABARGH_Share_D     : 61298636307861167
VABEMELAT_Share_D   : 778253364357513
VABESADER_Share_D   : 28320293733348826
VABESHAHR_Share_D   : 13937270451301973
VABIMEH_Share_D     : 11773403764702778
VABOALI_Share_D     : 28328710198554144
VADANA_Share_D      : deleted
VADEY_Share_D       : 43966385447049549
VAEHSA_Share_D      : 53647874954005806
VAEHYA_Share_D      : 17284166795866794
VAETEBAR_Share_D    : 47841327496247362
VAGARDESH_Share_D   : 7920014658832193
VAGHADIR_Share_D    : 26014913469567886
VAGHAVAM_Share_D    : deleted
VAGOSTAR_Share_D    : 43951910415124966
VAHAFEZ_Share_D     : 5128151910501174
VAHOOR_Share_D      : 25215182208950217
VAIRA_Share_D       : 9141577977527107
VAIRAN_Share_D      : 3149396562827132
VAJAMI_Share_D      : 57600064931636077
VAKADO_Share_D      : 56717416662584054
